Job_Name,Link,Job_Location,Dead_Line,status,Description
Projektledare ISO 27001 (ref. 242616),https://upgraded.se/konsultformedling/?jobid=242616,Stockholm,2023-06-18,Sweden,igonre dates
IT Controller (ref. 242594),https://upgraded.se/konsultformedling/?jobid=242594,Stockholm,2023-06-17,Sweden,igonre dates
Fullstack-utvecklare (ref. 242592),https://upgraded.se/konsultformedling/?jobid=242592,Stockholm med möjlighet till viss distans,2023-06-18,Sweden,igonre dates
Senior Profiseekonsult för Region Skåne (ref. 242589),https://upgraded.se/konsultformedling/?jobid=242589,Lund,2023-06-26,Sweden,igonre dates
Audio SW Developer (ref. 242580),https://upgraded.se/konsultformedling/?jobid=242580,Göteborg,2023-06-14,Sweden,igonre dates
"2 st tekniker, applikationsdrift (ref. 242578)",https://upgraded.se/konsultformedling/?jobid=242578,Norrköping,2023-06-19,Sweden,igonre dates
Data Engineer (ref. 242532),https://upgraded.se/konsultformedling/?jobid=242532,Stockholm,2023-06-17,Sweden,igonre dates
Projektinköpare (ref. 242514),https://upgraded.se/konsultformedling/?jobid=242514,Stockholm,2023-06-19,Sweden,igonre dates
Integrationsutvecklare (ref. 242515),https://upgraded.se/konsultformedling/?jobid=242515,Göteborg,2023-06-20,Sweden,igonre dates
Java Developer (ref. 242512),https://upgraded.se/konsultformedling/?jobid=242512,Stockholm,2023-06-16,Sweden,igonre dates
Senior Mjukvaruarkitekt med fallenhet för teknisk projektledning (ref. 242488),https://upgraded.se/konsultformedling/?jobid=242488,Lund,2023-06-19,Sweden,igonre dates
Senior Projektledare SDV för Region Skåne (ref. 242485),https://upgraded.se/konsultformedling/?jobid=242485,Lund,2023-06-18,Sweden,igonre dates
Senior IT Service Continuity Manager – Kontinuitetsansvarig för Region Skåne (ref. 242474),https://upgraded.se/konsultformedling/?jobid=242474,Lund,2023-06-19,Sweden,igonre dates
IT Support (ref. 242468),https://upgraded.se/konsultformedling/?jobid=242468,Stockholm,2023-06-17,Sweden,igonre dates
DSP SW Developer (ref. 242406),https://upgraded.se/konsultformedling/?jobid=242406,Göteborg,2023-06-20,Sweden,igonre dates
Senior dokumentatör Think Tanks NSH för Region Skåne (ref. 242376),https://upgraded.se/konsultformedling/?jobid=242376,Malmö,2023-06-17,Sweden,igonre dates
DevOps Engineer (ref. 242368),https://upgraded.se/konsultformedling/?jobid=242368,Göteborg,2023-06-19,Sweden,igonre dates
IT- och Informationsäkerhetsanalytiker (ref. 242356),https://upgraded.se/konsultformedling/?jobid=242356,Enköping,2023-06-22,Sweden,igonre dates
TechLead (ref. 242348),https://upgraded.se/konsultformedling/?jobid=242348,Malmö med möjlighet till viss distans,2023-06-19,Sweden,igonre dates
Editor (ref. 242307),https://upgraded.se/konsultformedling/?jobid=242307,Stockholm,2023-06-16,Sweden,igonre dates
Interimschef IT-säkerhet (ref. 242295),https://upgraded.se/konsultformedling/?jobid=242295,Stockholm,2023-06-13,Sweden,igonre dates
Verksamhetsarkitekt (ref. 242254),https://upgraded.se/konsultformedling/?jobid=242254,Stockholm,2023-06-19,Sweden,igonre dates
Agil verksamhetsutvecklare (ref. 242245),https://upgraded.se/konsultformedling/?jobid=242245,Stockholm med möjlighet till viss distans,2023-06-19,Sweden,igonre dates
Senior Processledare för Region Skåne (ref. 242150),https://upgraded.se/konsultformedling/?jobid=242150,Lund,2023-06-13,Sweden,igonre dates
Senior Lösningsarkitekt för Region Skåne (ref. 242148),https://upgraded.se/konsultformedling/?jobid=242148,Malmö,2023-06-13,Sweden,igonre dates
Senior lösningsarkitekt för Region Skåne (ref. 242147),https://upgraded.se/konsultformedling/?jobid=242147,Lund,2023-06-13,Sweden,igonre dates
2 x senior utvecklare Regionala Informationsplattformen för Region Skåne (ref. 242142),https://upgraded.se/konsultformedling/?jobid=242142,Lund,2023-06-13,Sweden,igonre dates
Systemtestare (ref. 242127),https://upgraded.se/konsultformedling/?jobid=242127,Göteborg,2023-06-17,Sweden,igonre dates
SITE SQM (ref. 242124),https://upgraded.se/konsultformedling/?jobid=242124,Göteborg,2023-07-01,Sweden,igonre dates
SW Engineer Analyze & Verification (ref. 242123),https://upgraded.se/konsultformedling/?jobid=242123,Göteborg,2023-06-16,Sweden,igonre dates
