Job_Name,Link,Job_Location,Dead_Line
Infrastructure Expert Hosting ,https://www.nikita.se/lediga-uppdrag/infrastructure-expert-hosting/,Stockholm,2023-04-05
Projektledare inom transport,https://www.nikita.se/lediga-uppdrag/projektledare-inom-transport/,remote,2023-04-05
Javautvecklare,https://www.nikita.se/lediga-uppdrag/sql-developer/,remote,2023-04-05
Teknisk IT-projektledare Kioskade Surfplattor,https://www.nikita.se/lediga-uppdrag/teknisk-it-projektledare-kioskade-surfplattor/,Stockholm,2023-04-05
Testledare,https://www.nikita.se/lediga-uppdrag/testledare-21/,Stockholm,2023-04-05
IT-projektledare,https://www.nikita.se/lediga-uppdrag/it-projektledare-5/,Stockholm,2023-04-05
Testare/Testledare,https://www.nikita.se/lediga-uppdrag/testare-testledare/,Om,2023-04-05
IT-projektledare för implementering av nytt PLM-system,https://www.nikita.se/lediga-uppdrag/it-projektledare-for-implementering-av-nytt-plm-system/,Den,2023-04-05
Dynamics CE-utvecklare,https://www.nikita.se/lediga-uppdrag/dynamics-ce-utvecklare/,remote,2023-04-05
Testande testledare för CRM projekt i Dynamics 365,https://www.nikita.se/lediga-uppdrag/testande-testledare-for-crm-projekt-i-dynamics-365/,Om,2023-04-05
Jurist,https://www.nikita.se/lediga-uppdrag/jurist/,Den,2023-04-05
Senior Backend developer,https://www.nikita.se/lediga-uppdrag/senior-backend-developer/,Stockholm,2023-04-05
IT / DevOps-support,https://www.nikita.se/lediga-uppdrag/it-devops-support/,Stockholm,2023-04-05
Configuration Manager/CMDB-expert,https://www.nikita.se/lediga-uppdrag/configuration-manager-cmdb-expert/,Stockholm,2023-04-05
Senior Technical Test Strategist,https://www.nikita.se/lediga-uppdrag/senior-technical-test-strategist/,Gbg,2023-04-05
